Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
1,Malcolm Dawson,SCS2,CHIEF LAND REGISTRAR/CHIEF EXECUTIVE,"The chief executive of Land Registry, reporting to the Secretary of State for Business, Innovation and Skills. Responsible for the strategic direction and management of the Agency's operations, and answerable to Parliament for the proper financial management of Land Registry.",Department for Business Innovation and Skills,Land Registry,Chief Land Registrar’s Office,0300 006 7251,jon.shepherd@landregistry.gsi.gov.uk,XX,817377,1,105000,109999,Operational Delivery,,1
2,John Wright,SCS2,DIRECTOR OF INFORMATION SYSTEMS,"Accountable and responsible for all aspects of the Information Systems (IS) Directorate. Responsible for providing information systems to Land Registry's staff and customers, and for providing leadership to the IS community. This includes the direction of Land Registry’s IS policies, practices and resources including its personnel, external contracts, enterprise architecture, information assets and overall responsibility for information security.",Department for Business Innovation and Skills,Land Registry,Information Systems,0300 006 4176,veronica.montague@landregistry.gsi.gov.uk,1,12449394,1,100000,104999,Information Technology,,1
3,David Evans,SCS1,DIRECTOR OF HUMAN RESOURCES,"Responsible for the leadership of the HR and corporate facilities and estates functions, ensuring efficient and effective day-to-day services that have the capacity and capability to support business change.  Senior Responsible Owner responsible for the delivery of Land Registry's Performance and Innovation (P&I) project.",Department for Business Innovation and Skills,Land Registry,HR Directorate,0300 006 7363,michelle.bayliss@landregistry.gsi.gov.uk,1,4031641,1,N/A,N/A,Human Resources,,1
4,Alasdair Lewis,SCS2,DIRECTOR OF LEGAL SERVICES,"Principal legal adviser responsible for the provision of legal services within Land Registry, including the management and development of the Agency's team of lawyers, and responsible for the legal framework for land registration and for the integrity of the register. Overall responsibility for Land Registry’s Project and Programme Centre.",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,1,1639806,1,90000,94999,Law,,1
5,John Peaden,SCS2,DIRECTOR OF OPERATIONS,"Responsible for the delivery of operational Key Performance Indicators and for key decisions regarding operational strategy, performance and for work practices and procedures in 14 local offices and the central operations group.",Department for Business Innovation and Skills,Land Registry,Operations Directorate,0300 006 7481,jason.bowers@landregistry.gsi.gov.uk,1,89728279,1,80000,84999,Operational Delivery,,1
6,Heather Foster,SCS1,FINANCE DIRECTOR,"Responsible for strategic financial, procurement, financial management and business planning. Accountable and responsible for all aspects of the Finance Directorate which includes: Business Planning, Finance, Corporate Procurement,, Risk Management and Internal Audit.",Department for Business Innovation and Skills,Land Registry,Finance Directorate,0300 006 7568,louise.guthrie@landregistry.gsi.gov.uk,1,3278289,1,N/A,N/A,Finance,,1
7,Annette Davies-Govett,SCS1,COMMERCIAL AND CUSTOMER DIRECTOR,"Responsible for leading the Commercial and Customer Directorate in the development and implementation of customer experience and contact strategies, marketing, sales, product and service development, customer services, stakeholder engagement and International unit.",Department for Business Innovation and Skills,Land Registry,Commercial and Customer Directorate,0300 006 7313,lucy.mason@landregistry.gsi.gov.uk,1,3141351,1,N/A,N/A,Operational Research,,1
8,N/D,SCS1,HEAD OF CORPORATE LEGAL SERVICES,"Responsible for the provision of legal advice to Land Registry on non-registration matters including compliance with central guidance and public rights legislation on competition issues, intellectual property rights, data protection, freedom of information and human rights.",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,625871,1,N/A,N/A,Law,,1
9,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,571625,0.65,N/A,N/A,Law,,1
10,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,596009,1,N/A,N/A,Law,,1
11,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,N/D,1,N/A,N/A,Law,Salary cost recorded with post reference 4,1
12,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,490601,0.61,N/A,N/A,Law,,1
13,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,N/D,1,N/A,N/A,Law,Salary cost recorded with post reference 4,1
14,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,752222,1,N/A,N/A,Law,,1
15,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,407604,1,N/A,N/A,Law,,1
16,N/D,SCS1,HEAD OF REGISTRATION LEGAL SERVICES,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,549360,1,N/A,N/A,Law,,1
17,Eliminated,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,N/A,N/A,4,0,1,N/A,N/A,Law,,1
18,Eliminated,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,N/A,N/A,4,0,1,N/A,N/A,Law,,1
19,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,534592,1,N/A,N/A,Law,,1
20,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,639051,1,N/A,N/A,Law,,1
21,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,538296,1,N/A,N/A,Law,,1
22,Eliminated,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,N/A,N/A,4,0,1,N/A,N/A,Law,,1
23,N/D,SCS1,LAND REGISTRAR,"Land Registrars lead and manage a team of lawyers to deliver decisions on and facilitate the completion of high value, complex and contentious casework",Department for Business Innovation and Skills,Land Registry,Legal Services Group,0300 006 7380,sally.acott@landregistry.gsi.gov.uk,4,574003,1,N/A,N/A,Law,,1
