Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
1,Jil Matheson,SCS4,Permanent Secretary,"National Statistician, Head of GSS",UK Statistics Authority,UK Statistics Authority,UK Statistics Authority,01633 455036,national.statistician@statistics.gsi.gov.uk,Board,505192,1,140000,144999,Statisticians,"The National Statistician is the Permanent Secretary and Chief Executive of the UK Statistics Authority and Head Of GSS. As Permanent Secretary, The National Statistician reports to the Cabinet Secretary.",1
2,Glen Watson,SCS3,Director General,Head Of ONS,UK Statistics Authority,UK Statistics Authority,Office For National Statistics,0845 601 3034,info@statistics.gov.uk,1,446537,1,105000,109999,Statisticians,,1
3,Eliminated,SCS2,Director,"Production of statistical outputs from its surveys and administrative sources, and reporting and analysing major social and economic issues",UK Statistics Authority,UK Statistics Authority,Economic Labour and Social Analysis,N/A,info@statistics.gov.uk,2,0,1,0,0,Economics,Eliminated following reorganisation 01 April 2012,1
4,Caron Walker,SCS2,Director,"Production of statistical outputs from its surveys and administrative sources, and reporting and analysing major social and economic issues",UK Statistics Authority,UK Statistics Authority,Collection and Production,0845 601 3034,info@statistics.gov.uk,2,0,1,90000,94999,Statisticians,2 Posts merged 3&4 ELS & SASD,1
5,Guy Goodwin,SCS2,Director,"Providing high quality data, statistics and analyses, at national and local level, on the number, distribution and health of the population as well as on the social and economic conditions affecting people in, local areas.",UK Statistics Authority,UK Statistics Authority,Population and Demography,0845 601 3034,info@statistics.gov.uk,2,590251,1,85000,89999,Statisticians,Post renamed,1
6,Ian Cope,SCS2,Director,Planning and development of the processes required to conduct a national census and for the production of its statistical outputs.,UK Statistics Authority,UK Statistics Authority,Analysis and Dissemination,0845 601 3034,info@statistics.gov.uk,2,0,1,80000,84999,Statisticians,Post renamed  A&D / Not disclosed - Less than 5 staff amount with post 2,1
7,Eliminated,SCS2,Director,"Providing support, guidance and expertise to ONS staff, relating to financial management, accounting, procurement, enterprise software systems, strategic reporting & delivery, risk management and property & facility management services.",UK Statistics Authority,UK Statistics Authority,Corporate Services,N/A,info@statistics.gov.uk,2,N/D,1,0,0,Finance,Eliminated following reorganisation 01 April 2012,1
8,Eliminated,SCS2,Director,"Responsible for the design, deployment and management of IT solutions",UK Statistics Authority,UK Statistics Authority,Information Management,N/A,info@statistics.gov.uk,2,N/D,1,0,0,Information Technology,Eliminated following reorganisation 01 April 2012,1
9,Eliminated,SCS2,Director,"Provides the technical foundation for producing and analysing official statistics, and the methodological support for improving ONS surveys.",UK Statistics Authority,UK Statistics Authority,Methodology,N/A,info@statistics.gov.uk,2,N/D,1,0,0,Statisticians,Eliminated following reorganisation 01 April 2012,1
12,Penny Hallett,SCS1,Deputy Director,Communication,UK Statistics Authority,UK Statistics Authority,Communication,0845 601 3034,info@statistics.gov.uk,6,2082219,1,0,0,Communications,,1
13,Tim Andrews,SCS1,Deputy Director,National Statisticians Office (Operations),UK Statistics Authority,UK Statistics Authority,National Statisticians Office (Operations),01633 455247,nsoffice.enquires@statistics.gsi.gov.uk,1,716764,1,0,0,Statisticians,,1
14,Pam Davies,SCS1,Deputy Director,National Statisticians Office (Strategy),UK Statistics Authority,UK Statistics Authority,National Statisticians Office (Strategy),01633 455247,nsoffice.enquires@statistics.gsi.gov.uk,1,0,1,0,0,Statisticians,Not disclosed - Less than 5 staff amount with post 1,1
15,Peter Patterson,SCS1,Deputy Director,Office of the Chief Economic Adviser,UK Statistics Authority,UK Statistics Authority,Office of the Chief Economic Adviser,0845 601 3034,info@statistics.gov.uk,44,624251,1,0,0,Economics,Post renamed,1
16,Graeme Walker,SCS1,Deputy Director,National Accounts Coordination Division,UK Statistics Authority,UK Statistics Authority,National Accounts Coordination Division,0845 601 3034,info@statistics.gov.uk,4,1649886,1,0,0,Statisticians,Post renamed,1
18,Glen Everett,SCS1,Deputy Director,Measuring National Well-being,UK Statistics Authority,UK Statistics Authority,Measuring National Well-being,0845 601 3034,info@statistics.gov.uk,6,1272007,1,0,0,Statisticians,,1
19,Jacqui Jones,SCS1,Deputy Director,Business Indicators and Balance of Payments,UK Statistics Authority,UK Statistics Authority,Business Indicators and Balance of Payments,0845 601 3034,info@statistics.gov.uk,4,2844153,1,0,0,Statisticians,,1
20,Michael Prestwood,SCS1,Deputy Director,Labour Market,UK Statistics Authority,UK Statistics Authority,Labour Market,0845 601 3034,info@statistics.gov.uk,4,1662318,1,0,0,Statisticians,Post renamed,1
21,Ed Dunn,SCS1,Deputy Director,ONS Social Survey,UK Statistics Authority,UK Statistics Authority,ONS Social Survey,0845 601 3034,info@statistics.gov.uk,4,17557486,1,0,0,Social Research,,1
22,Derek Bird,SCS1,Deputy Director,Prices,UK Statistics Authority,UK Statistics Authority,Prices,0845 601 3034,info@statistics.gov.uk,4,1803596,1,0,0,Statisticians,,1
23,Peter Fullerton,SCS1,Deputy Director,Business Data,UK Statistics Authority,UK Statistics Authority,Business Data,0845 601 3034,info@statistics.gov.uk,4,7433767,1,0,0,Statisticians,,1
24,Elimated,SCS1,Deputy Director,Business Statistics,UK Statistics Authority,UK Statistics Authority,Business Statistics,0845 601 3034,info@statistics.gov.uk,4,N/D,1,0,0,Statisticians,,1
25,Jason Bradbury,SCS1,Deputy Director,Business Outputs and Developments,UK Statistics Authority,UK Statistics Authority,Business Outputs and Developments,0845 601 3034,info@statistics.gov.uk,4,2431506,1,0,0,Statisticians,2 Posts merged 24 & 25,1
26,Ben Humberstone,SCS1,Deputy Director,Population Statistics Division,UK Statistics Authority,UK Statistics Authority,Population Statistics Division,0845 601 3034,info@statistics.gov.uk,5,2425290,1,0,0,Statisticians,,1
27,Lucy Vickers,SCS1,Deputy Director,Regional and Local,UK Statistics Authority,UK Statistics Authority,Regional and Local,0845 601 3034,info@statistics.gov.uk,5,1243284,0.81,0,0,Social Research,,1
28,Judith Jones,SCS1,Deputy Director,Health and Life Events Division,UK Statistics Authority,UK Statistics Authority,Health and Life Events Division,0845 601 3034,info@statistics.gov.uk,5,3429201,0.86,0,0,Statisticians,,1
29,Peter Benton,SCS1,Deputy Director,Beyond 2011,UK Statistics Authority,UK Statistics Authority,Beyond 2011,0845 601 3034,info@statistics.gov.uk,5,1740627,1,0,0,Policy,,1
30,Roma Chappell,SCS1,Deputy Director,Census Outputs,UK Statistics Authority,UK Statistics Authority,Census Outputs,0845 601 3034,info@statistics.gov.uk,5,3633433,1,0,0,Statisticians,,1
31,Glenn St John-Colgan,SCS1,Deputy Director,Census Programme,UK Statistics Authority,UK Statistics Authority,Census Programme,0845 601 3034,info@statistics.gov.uk,5,500524,1,0,0,Operational Delivery,,1
32,Paul Layland,SCS1,Deputy Director,Finance,UK Statistics Authority,UK Statistics Authority,Finance,0845 601 3034,info@statistics.gov.uk,43,1468615,1,0,0,Finance,,1
