Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
CPS-C-001,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS WILTSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-013,1650237,1,N/D,N/D,Operational Delivery,,
CPS-C-002,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS DURHAM,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-015,2503556,1,N/D,N/D,Operational Delivery,,
CPS-C-003,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS BEDFORDSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-012,2348620,1,N/D,N/D,Operational Delivery,,
CPS-C-004,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS CAMBRIDGESHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-007,2178272,1,N/D,N/D,Operational Delivery,,
CPS-C-005,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS NORTHAMPTONSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-002,1951696,1,N/D,N/D,Operational Delivery,,
CPS-C-006,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS SURREY,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-014,2649656,1,N/D,N/D,Operational Delivery,,
CPS-C-007,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS STAFFORDSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-003,3870737,1,N/D,N/D,Operational Delivery,,
CPS-C-008,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS LINCOLNSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-002,1837067,1,N/D,N/D,Operational Delivery,,
CPS-C-009,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS NORTH WALES,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-001,2490414,1,N/D,N/D,Operational Delivery,,
CPS-C-010,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS DYFED POWYS,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-001,1646366,1,N/D,N/D,Operational Delivery,,
CPS-C-011,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS NORFOLK,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-007,2478343,1,N/D,N/D,Operational Delivery,,
CPS-C-012,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS GLOUCESTERSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-008,1652567,1,N/D,N/D,Operational Delivery,,
CPS-C-013,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS HERTFORDSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-012,2946143,1,N/D,N/D,Operational Delivery,,
CPS-C-014,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS DORSET,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-013,2292964,1,N/D,N/D,Operational Delivery,,
CPS-C-015,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS WARWICKSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-003,1126634,1,N/D,N/D,Operational Delivery,,
CPS-C-016,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS CUMBRIA,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-005,1962031,1,N/D,N/D,Operational Delivery,,
CPS-C-017,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS NORTH YORKSHIRE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-004,2174779,1,N/D,N/D,Operational Delivery,,
CPS-C-018,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS CLEVELAND,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-015,2925073,1,N/D,N/D,Operational Delivery,,
CPS-C-019,,SCS1,Chief Crown Prosecutor,"The post holder delivers, through excellent leadership and engagement with CPS staff and partners in the Criminal Justice System, the highest quality, most efficient and effective prosecution service within their Area across all legal advice, legal decisions, advocacy; business and staff management. They promote CPS� core values and the equality and diversity agenda, ensuring there are effective internal and external communication strategies in place. In addition the post holder works collaboratively and collegiately in their CPS Group to deliver improvements in local and group performance, ensuring consistent and clear high quality representation of CPS across the wide range of the Group�s responsibilities and relationships.",Crown Prosecution Service,Crown Prosecution Service,CPS HUMBERSIDE,0203 357 0899,enquiries@cps.gsi.gov.uk,CPS-G-004,3446708,1,N/D,N/D,Operational Delivery,,
