Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
BC1,Steve Lamey,SCS3,Director General Benefits & Credits,"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,CE1,714000,1,205000,209999,Planning,,
BC10,,SCS1,Head of B&C Customer Service & Channels Management Team,"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC3,1255000,1,N/D,N/D,Policy,,
BC12,,SCS1,Strategy and Innovation,"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC14,0,1,N/D,N/D,Policy,,
BC13,,SCS1,Head of Exchequer Losses,"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC3,4986000,1,N/D,N/D,Operational Delivery,,
BC14,,SCS1,Director of CSC and Product and Process,"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC1,363000,1,N/D,N/D,Operational Delivery,,
BC15,,SCS1,"Deputy Director Product, Process Owner and Policy","Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC14,0,1,N/D,N/D,Policy,,
BC2,,SCS1,"Strategy, Policy and Legislative Assurance","Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC14,1413000,1,N/D,N/D,Information Technology,,
BC3,Paul Gerrard,SCS2,Benefits & Credits Operations Director,"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC1,103605000,1,80000,84999,Operational Delivery,,
BC4,,SCS1,HR Director (B&C),"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC1,3749000,1,N/D,N/D,Human Resources,,
BC8,,SCS1A,Finance Director (B&C),"Benefits and Credits make sure that the money is available to fund the UK's public services. We help families and individuals with targeted financial support, working to protect public finances and help eradicate child poverty and make work pay",Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Benefits & Credits,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BC1,6388000,1,N/A,N/A,Finance,,
BCU1,Naomi Ferguson,SCS2,Director Business Customer & Strategy Unit,BC&S role is to understand HMRC's business customers and to use that understanding: to be accountable for developing strategies to improve the development and delivery of HMRC's services; to better engage with business customers; and to deliver programmes that advance the strategy,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Business Customer Unit,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BT1,651000,1,105000,109999,Tax Professionals,,
BCU10,,SCS1,Director Business Tax Programme,BC&S role is to understand HMRC's business customers and to use that understanding: to be accountable for developing strategies to improve the development and delivery of HMRC's services; to better engage with business customers; and to deliver programmes that advance the strategy,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Business Customer Unit,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BCU1,945000,1,N/D,N/D,Operational Delivery,,
BCU11,,SCS1A,Businesslink.gov Programme Director,BC&S role is to understand HMRC's business customers and to use that understanding: to be accountable for developing strategies to improve the development and delivery of HMRC's services; to better engage with business customers; and to deliver programmes that advance the strategy,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Business Customer Unit,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BCU1,0,1,N/A,N/A,Programme and Project Management (PPM),,
BCU12,,SCS1,BusinessLink.gov.uk - Head of Strategy,BC&S role is to understand HMRC's business customers and to use that understanding: to be accountable for developing strategies to improve the development and delivery of HMRC's services; to better engage with business customers; and to deliver programmes that advance the strategy,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Business Customer Unit,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BCU11,0,1,N/D,N/D,Programme and Project Management (PPM),,
BCU2,,SCS1,Head of Large Business Policy & Delivery,BC&S role is to understand HMRC's business customers and to use that understanding: to be accountable for developing strategies to improve the development and delivery of HMRC's services; to better engage with business customers; and to deliver programmes that advance the strategy,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Business International & Anti-Avoidance,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BCU1,534000,1,N/D,N/D,Tax Professionals,,
BCU4,,SCS2,Acting Director,BC&S role is to understand HMRC's business customers and to use that understanding: to be accountable for developing strategies to improve the development and delivery of HMRC's services; to better engage with business customers; and to deliver programmes that advance the strategy,Her Majesty's Revenue and Customs,Her Majesty's Revenue and Customs,Business Customer Unit,020 7147 2412,ContactUs@hmrc.gsi.gov.uk,BCU1,642000,1,N/A,N/A,Policy,,
